"Verbo Alemão,English Translation,Exemplo Alemão"
"abfahren,to depart/leave,Der Zug fährt um 8 Uhr ab."
"anrufen,to call,Ich rufe dich später an."
"beginnen,to begin,Der Unterricht beginnt um 9 Uhr."
"bekommen,to receive/get,Ich habe ein Geschenk bekommen."
"bleiben,to stay,Ich bleibe heute zu Hause."
"bringen,to bring,Kannst du mir bitte das Buch bringen?"
"denken,to think,Ich denke an dich."
"essen,to eat,Wir essen gerne Pizza."
"fahren,""to drive, go"",Ich fahre mit dem Auto zur Arbeit."
"fangen,to catch,Die Katze fängt eine Maus."
"finden,to find,Ich kann meine Schlüssel nicht finden."
"fliegen,to fly,Wir fliegen im Sommer nach Spanien."
"geben,to give,Gib mir bitte den Stift."
"gehen,""to go, walk"",Ich gehe zu Fuß zur Schule."
"haben,to have,Ich habe einen Hund."
"halten,""to hold, stop"",Halte bitte meine Tasche."
"helfen,to help,Kannst du mir bitte helfen?"
"kennen,to know (a person/place),Ich kenne diesen Mann nicht."
"kommen,to come,Wann kommst du nach Hause?"
"laufen,""to run, walk"",Ich laufe jeden Morgen im Park."
"lesen,to read,Ich lese gerne Bücher."
"liegen,to lie/be located,Das Buch liegt auf dem Tisch."
"nehmen,to take,Ich nehme einen Kaffee."
"rufen,""to call, shout"",Rufe bitte den Arzt."
"schlafen,to sleep,Ich schlafe normalerweise 8 Stunden."
"schreiben,to write,Ich schreibe einen Brief an meine Oma."
"schwimmen,to swim,Im Sommer schwimmen wir im See."
"sehen,to see,Ich kann den Berg von hier aus sehen."
"sein,to be,Ich bin Student."
"singen,to sing,Sie singt sehr schön."
"sitzen,to sit,Wir sitzen auf der Parkbank."
"sprechen,to speak,Ich spreche Deutsch und Englisch."
"stehen,to stand,Die Vase steht auf dem Tisch."
"tragen,""to carry, wear"",Er trägt einen schweren Koffer."
"treffen,to meet,Ich treffe mich mit Freunden im Café."
"trinken,to drink,Was möchtest du trinken?"
"tun,to do,Was tust du gerade?"
"verlassen,to leave/abandon,Er hat die Stadt verlassen."
"verstehen,to understand,Ich verstehe die Frage nicht."
"werden,to become,Sie will Ärztin werden."
"wissen,to know (a fact),Ich weiß die Antwort nicht."
"wohnen,to live/reside,Ich wohne in Berlin."
"ziehen,""to pull, move"",Wir ziehen nächste Woche um."
"abfliegen,to take off/depart (by air),Das Flugzeug fliegt um 10 Uhr ab."
"abgeben,to hand in/submit,Bitte geben Sie Ihre Hausaufgaben ab."
"abhängen,to depend on,Das hängt vom Wetter ab."
"abholen,to pick up,Ich hole dich vom Bahnhof ab."
"abnehmen,to lose weight/decrease,Er hat 5 Kilo abgenommen."
"abschließen,to lock/finish,Hast du die Tür abgeschlossen?"
"abstellen,to park/turn off,Stell den Motor bitte ab."
"achten,to pay attention to,Achte auf den Verkehr!"
"ändern,to change/alter,Wir müssen den Plan ändern."
"anbieten,to offer,Darf ich Ihnen einen Kaffee anbieten?"
"anerkennen,to recognize/acknowledge,Sie erkannte seine Leistung an."
"anfangen,to start/begin,Wann fängt der Film an?"
"angeben,to state/specify,Bitte geben Sie Ihren Namen an."
"ankommen,to arrive,Der Zug kommt pünktlich an."
"annehmen,to accept/assume,Ich nehme Ihr Angebot an."
"anpassen,to adapt/adjust,Man muss sich an neue Situationen anpassen."
"anschauen,to look at/watch,Wir schauen uns einen Film an."
"antworten,to answer,Bitte antworte auf meine Frage."
"anziehen,to put on/dress,Zieh dir eine Jacke an, es ist kalt."
"arbeiten,to work,Ich arbeite bei einer großen Firma."
"atmen,to breathe,Vergiss nicht zu atmen."
"auffallen,to stand out/be noticeable,Sein rotes Auto fällt sofort auf."
"aufführen,to perform,Die Schüler führen ein Theaterstück auf."
"aufgeben,to give up,Gib niemals deine Träume auf."
"aufheben,to pick up/lift,Kannst du den Stift aufheben?"
"aufhören,to stop/quit,Hör auf zu rauchen!"
"aufmachen,to open,Mach bitte das Fenster auf."
"aufnehmen,to record/admit,Die Kamera nimmt alles auf."
"aufräumen,to clean up,Ich muss mein Zimmer aufräumen."
"aufstehen,to get up,Ich stehe jeden Tag um 6 Uhr auf."
"auftreten,to appear/occur,Plötzlich trat ein Problem auf."
"aufwachen,to wake up,Ich wache ohne Wecker auf."
"ausdrücken,to express,Er kann seine Gefühle gut ausdrücken."
"ausfallen,to be cancelled,Das Konzert ist ausgefallen."
"ausgeben,to spend (money),Ich gebe nicht gern viel Geld aus."
"ausgehen,to go out,Wir gehen heute Abend aus."
"aushalten,to endure/bear,Ich kann diesen Lärm nicht aushalten."
"auskennen,to be familiar with,Kennst du dich hier aus?"
"ausmachen,to turn off,Mach das Licht aus, bevor du gehst."
"ausruhen,to rest,Nach der Arbeit ruhe ich mich aus."
"aussehen,to look/appear,Du siehst heute gut aus."
"aussprechen,to pronounce,Wie spricht man dieses Wort aus?"
"aussteigen,to get off/out,Wir steigen an der nächsten Haltestelle aus."
"auswählen,to choose/select,Sie können ein Gericht aus der Karte auswählen."
"ausziehen,to move out/undress,Nächsten Monat ziehe ich aus."
"backen,to bake,Ich backe einen Kuchen zum Geburtstag."
"baden,to bathe/swim,Im Sommer baden wir im See."
"bauen,to build,Sie bauen ein neues Haus."
"beachten,to note/observe,Bitte beachten Sie die Regeln."
"beantragen,to apply for,Ich möchte ein Visum beantragen."
"beantworten,to answer/reply to,Er hat meine E-Mail noch nicht beantwortet."
"bedeuten,to mean/signify,Was bedeutet dieses Wort?"
"bedienen,to serve,Der Kellner bedient die Gäste."
"beeinflussen,to influence,Werbung beeinflusst unsere Entscheidungen."
"beenden,to finish/end,Wir müssen das Projekt bis Freitag beenden."
"befinden,to be located,Das Hotel befindet sich im Stadtzentrum."
"befreien,to free/liberate,Sie befreiten die Geiseln."
"begegnen,to meet/encounter,Ich bin ihm zufällig auf der Straße begegnet."
"behalten,to keep,Du kannst das Buch behalten."
"behandeln,to treat/deal with,Der Arzt behandelt den Patienten."
"behaupten,to claim/assert,Er behauptet, die Wahrheit zu sagen."
"beißen,to bite,Der Hund beißt nicht."
"beitragen,to contribute,Jeder kann zum Umweltschutz beitragen."
"bekämpfen,to fight/combat,Wir müssen die Armut bekämpfen."
"benutzen,to use,Darf ich Ihr Telefon benutzen?"
"beraten,to advise,Ein Anwalt hat mich beraten."
"berichten,to report,Die Zeitung berichtet über den Unfall."
"berücksichtigen,to consider,Bitte berücksichtigen Sie alle Fakten."
"beruhigen,to calm down,Beruhige dich, alles wird gut."
"beschäftigen,to employ/occupy,Diese Frage beschäftigt mich sehr."
"beschreiben,to describe,Kannst du den Weg beschreiben?"
"beschweren,to complain,Er beschwert sich immer über das Wetter."
"besetzen,to occupy,Der Platz ist schon besetzt."
"besichtigen,to visit/view,Wir wollen das Schloss besichtigen."
"besitzen,to own/possess,Er besitzt ein schnelles Auto."
"bestellen,to order,Ich möchte eine Pizza bestellen."
"bestimmen,to determine/decide,Der Preis wird durch die Nachfrage bestimmt."
"bestrafen,to punish,Der Lehrer bestraft den Schüler."
"besuchen,to visit,Ich besuche meine Großeltern am Wochenende."
"betonen,to emphasize,Ich möchte betonen, wie wichtig das ist."
"betrachten,to look at/consider,Ich betrachte ihn als meinen Freund."
"betrügen,to cheat/deceive,Er hat sie mit einer anderen Frau betrogen."
"bewegen,to move,Beweg dich nicht!"
"beweisen,to prove,Er konnte seine Unschuld beweisen."
"bewerben,to apply,Ich bewerbe mich um eine neue Stelle."
"bezahlen,to pay,Ich bezahle die Rechnung."
"beziehen,to refer to/cover,Meine Frage bezieht sich auf den letzten Punkt."
"bieten,to offer/provide,Die Firma bietet gute Arbeitsbedingungen."
"bilden,to form/educate,Diese Felsen bilden eine interessante Form."
"bitten,to ask for,Ich bitte dich um einen Gefallen."
"brauchen,to need,Ich brauche deine Hilfe."
"brechen,to break,Er hat sich das Bein gebrochen."
"bremsen,to brake,Du musst hier bremsen!"
"brennen,to burn,Das Feuer brennt im Kamin."
"buchen,to book,Ich habe einen Flug nach Rom gebucht."
"buchstabieren,to spell,Können Sie bitte Ihren Namen buchstabieren?"
"danken,to thank,Ich danke Ihnen für Ihre Hilfe."
