verbo|traducao_russo|exemplo_russo|nivel
ankommen|прибывать|Когда прибывает поезд?|A1
antworten|отвечать|Пожалуйста, ответьте быстро.|A1
arbeiten|работать|Я работаю с понедельника по пятницу.|A1
aufmachen|открывать|Можешь открыть окно, пожалуйста?|A1
aufstehen|вставать|Я встаю каждое утро в 7 часов.|A1
ausfüllen|заполнять|Пожалуйста, заполните форму.|A1
aussehen|выглядеть|Она выглядит уставшей.|A1
aussprechen|произносить|Как произносится это слово?|A1
aussteigen|выходить (из транспорта)|Мы должны здесь выйти.|A1
bezahlen|платить|Я хочу сейчас заплатить.|A1
brauchen|нуждаться|Мне нужна помощь.|A1
bringen|приносить|Можешь принести мне кофе?|A1
buchstabieren|произносить по буквам|Вы можете произнести это по буквам, пожалуйста?|A1
duschen|принимать душ|Я принимаю душ каждое утро.|A1
einkaufen|делать покупки|Я иду за покупками сегодня.|A1
einladen|приглашать|Я приглашаю тебя на ужин.|A1
einschlafen|засыпать|Я поздно заснул.|A1
einsteigen|садиться (в транспорт)|Пожалуйста, садитесь!|A1
essen|есть|Что бы вы хотели съесть?|A1
fahren|ехать|Я еду на работу на машине.|A1
fernsehen|смотреть телевизор|Вечером я люблю смотреть телевизор.|A1
finden|находить|Я не могу найти ключ.|A1
fliegen|летать|Мы летим в Испанию.|A1
fotografieren|фотографировать|Он любит фотографировать пейзажи.|A1
fragen|спрашивать|Я хочу тебя кое о чем спросить.|A1
frühstücken|завтракать|Я завтракаю в 8 часов.|A1
geben|давать|Можешь дать мне книгу, пожалуйста?|A1
gehen|идти|Мы идем в кино.|A1
haben|иметь|У меня новая машина.|A1
halten|держать, останавливаться|Остановитесь здесь, пожалуйста.|A1
heißen|называться|Как вас зовут?|A1
heizen|топить, отапливать|Зимой мы должны отапливать квартиру.|A1
holen|забирать, приносить|Я должен забрать детей из школы.|A1
hören|слышать|Ты слышишь музыку?|A1
kaufen|покупать|Что ты хочешь купить?|A1
kochen|готовить|Я сегодня вечером готовлю суп.|A1
kommen|приходить|Откуда вы?|A1
können|мочь, уметь|Ты можешь мне помочь?|A1
kosten|стоить|Сколько это стоит?|A1
krank|больной (используется с 'sein')|Я болен.|A1
küssen|целовать|Он целует свою девушку.|A1
lachen|смеяться|Они смеются над шуткой.|A1
laufen|бегать, ходить|Дети бегают в саду.|A1
leben|жить|Я живу в Германии.|A1
legen|класть|Положи книгу на стол.|A1
lesen|читать|Я люблю читать книги.|A1
lieben|любить|Я люблю тебя.|A1
liegen|лежать, находиться|Книга лежит на столе.|A1
lösen|решать|Ты можешь решить задачу?|A1
machen|делать|Что ты делаешь сегодня вечером?|A1
markieren|отмечать|Отметьте правильный ответ, пожалуйста.|A1
müssen|должен, быть вынужденным|Я должен сейчас идти.|A1
nehmen|брать|Садитесь, пожалуйста.|A1
notieren|записывать|Запишите адрес, пожалуйста.|A1
organisieren|организовывать|Мы должны организовать вечеринку.|A1
packen|паковать|Я должен упаковать чемоданы.|A1
